Assemblage_Name	6779302-4-1529671	3460844-8907253-4	3460844-2-4	1-8833337-4	2907576-9932706-4	2-8432134-2	3906234-4-4	4-2-7467183	3460844-2-6652303	2-9266801-703543	4-1571280-1	1-9932706-4	6779302-5210111-4	3-1423135-4	1-851899-4	1-9932706-6362676	1-9932706-2369939	2-4-4259022	5166944-2-4	4-2-4330192	566605-9932706-4	1-5786127-4	6779302-4-5644916	4-8937439-3	2-4-5093656	1-7821445-4	4-760152-3	1-2019397-4	6068412-4-4	4-2-9501159	2-4-2	2-1400741-2	7644183-9932706-4	2-4-703543	6779302-1707425-4	4-2-3	4-2-1	2-9307250-2	6779302-4-918683	5044815-4-703543	6779302-4-3619123	1-4-4	1-9932706-8482261	3-2-6673817	3460844-7163423-4	8994230-2-4	1-1731124-4	7017116-4-4	6779302-4-4	3-2-4	7123588-2-4	899072-2-4	6779302-5372325-4
assemblage-877-553	0	0	5	0	40	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	35	0	0	0	0	178	7	6	0	0	0	0	0	0	0	0	21	0	77	21	0	0	3
assemblage-255-927	0	0	14	0	29	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	25	0	0	0	0	162	6	0	0	0	0	0	0	0	0	0	23	0	78	20	0	0	11
assemblage-746-583	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	94	0	48	0	0	6	0	0	0	0	0	0	0	0	0	208	0	0	0	11
assemblage-507-779	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	14	0	0	0	0	0	25	26	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	7
assemblage-199-466	0	0	152	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	86	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	9
assemblage-204-396	0	0	6	0	0	0	0	66	0	0	0	91	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	20	0	0	103	0	0	33	0	0	0	0	0	0	0	0	0	0	0	33	109	0	0	6
assemblage-94-494	0	0	7	0	49	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	22	0	0	0	0	181	0	10	0	0	0	0	0	0	0	0	21	0	85	9	0	0	11
assemblage-488-381	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	100	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	7
assemblage-887-564	0	0	70	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	66	0	0	111	0	42	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	5
assemblage-502-373	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	90	0	42	0	0	19	0	0	0	0	0	0	0	0	0	230	0	0	0	4
