Assemblage_Name	2559871-8952806-1	2-2010276-1	5592634-4-1	2-1890704-1	2-1-5458090	0-9769267-2	3-3179916-821237	5875042-2-226164	3-3179916-0	3-2-226164	7481502-1-1	0-6653765-2	5970712-3179916-0	8180774-2-2	4-4-4	2-1-3285072	0-3-2	0-2-6626474	1358952-4-1	2559871-1-1	3-2-6544721	1256996-2-2	3-5235514-1	2-1-1	3-4-1	9989389-1-1	0-2-2	0-2-138251	3-3179916-9616508
assemblage-103-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	89	0	0	347	12	2
assemblage-245-235	0	0	12	0	0	0	0	0	0	42	0	0	0	9	0	0	0	0	0	0	0	0	0	305	15	0	116	0	1
assemblage-419-440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	385	26	0	0	0	6
assemblage-106-789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	365	0	4
assemblage-393-805	0	0	0	0	0	0	12	0	267	0	0	0	0	0	0	0	15	0	0	0	0	0	98	89	15	0	0	0	4
assemblage-752-974	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	274	0	1
assemblage-922-961	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	78	0	0
assemblage-393-803	0	0	0	0	0	0	47	67	44	38	0	0	9	0	0	0	0	0	0	0	0	0	4	68	101	0	121	0	1
assemblage-739-314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	182	0	3
assemblage-497-349	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	144	0	9
assemblage-248-931	0	0	0	0	0	0	9	9	17	5	0	0	43	0	0	14	0	0	0	0	0	0	7	180	53	0	163	0	0
assemblage-969-107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	246	0	0	239	0	8
assemblage-711-781	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	63	0	0	0	0	0	375	0	0	18	0	1
assemblage-521-793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	151	0	1
assemblage-968-117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	326	0	0	162	0	7
assemblage-866-658	0	0	0	0	0	0	0	0	14	0	0	0	50	0	0	15	0	0	0	0	0	0	0	192	49	0	160	0	20
assemblage-114-780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	267	0	1
assemblage-874-653	0	0	0	0	0	0	0	0	142	29	0	0	0	0	0	0	0	0	0	0	0	0	71	224	0	0	27	0	7
assemblage-771-946	0	0	0	0	0	6	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	246	0	4
assemblage-905-929	0	0	0	0	0	0	0	0	0	113	7	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	197	0	4
assemblage-843-512	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	6
assemblage-942-784	0	0	0	0	0	11	0	0	0	18	0	0	0	0	0	0	0	0	0	7	0	0	0	317	0	0	141	0	6
assemblage-135-471	0	0	0	0	0	0	0	0	4	101	0	0	0	0	0	0	0	0	0	0	0	0	21	83	27	0	262	0	2
assemblage-765-587	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	389	0	7
assemblage-902-934	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	176	0	6
assemblage-746-290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	96	0	0	358	9	2
assemblage-862-661	0	0	0	0	0	0	0	0	19	82	0	0	0	0	0	0	0	0	0	0	0	0	26	97	28	0	241	0	7
assemblage-186-430	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	218	11	0	240	0	11
assemblage-959-848	0	0	0	0	0	0	43	57	37	62	0	0	7	0	0	0	0	0	0	0	0	0	5	65	96	0	128	0	0
