Assemblage_Name	0-3-5960757	1-5670622-2	4267247-2-2	9331227-1489243-702450	0-3-1914634	1-4-1034851	4-6560864-3	1084405-1-9410831	4-9332730-3	9326259-1-9410831	668899-0-1	4083542-6678262-4	0-4895173-8246569	0-1-9410831	4-1-3	0-8364436-4	6746964-3-4	9331227-0-389080	4083542-331682-4	9331227-1489243-3911688	4083542-3-4	0-1-2	7191688-3-4	0-1-6737455	4083542-7220265-4	4953351-3-1	887133-3-1	5626659-1-9410831	1-2-7951770	1-2-6888927	0-3-3596329	2594983-1-9410831	4083542-3-6747246	0-2-1	0-3-8246569	2198857-3-5960757	3718048-3-4	1-1731409-2	4083542-9842609-6747246	1-3-1	2012216-3-4	0-1-1236168	4387694-3-4	9331227-0-9548052	2-0-1	4-1-5112150	9331227-0-7771250	0-6144828-1	9331227-0-6713014	2910737-0-9548052	0-3-4	8782577-9443837-3	9331227-1489243-9548052	1-5936326-2	0-5512196-1	4387694-3-854309	4083542-3-6994675	1-2-2	1-2-4	2238867-2-2	1-4-2	1-3-50275	0-1-7415835	2-5080591-1	2-0-7673815	1-9183806-2	0-1825020-9410831	4-9443837-3	1940309-2-1	2-117042-1	1-7517211-2	4-1093652-3	2-0-9548052	4123760-5936326-2
assemblage-385-572	0	0	0	0	0	0	6	0	0	0	0	0	0	36	65	0	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	7	0	0	0	18	62	0	0	0	0	0	28	0	0	23	0	0	0	134	0	0	38	0	0	0	0	7	0	0	0	0	0	0	0	33
assemblage-450-482	0	0	0	0	0	0	0	0	37	0	0	0	0	38	50	0	0	0	0	0	0	9	0	0	0	0	10	0	0	0	0	0	0	9	19	0	0	0	0	0	0	0	0	76	48	0	0	0	0	0	125	0	0	24	7	0	0	28	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-519-486	12	0	0	0	0	0	0	0	59	0	0	0	0	39	27	8	0	0	0	0	0	16	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	12	0	0	0	0	0	109	0	12	7	0	0	0	71	0	0	11	0	0	0	0	0	0	0	0	6	0	0	0	6
assemblage-330-439	0	0	0	0	5	5	0	0	43	0	0	0	15	80	47	5	0	0	0	0	7	0	0	0	0	0	56	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	25	0	0	0	0	0	0	139	0	19	8	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-687-461	0	0	0	0	0	0	0	0	24	0	0	0	0	28	62	5	0	0	0	0	0	12	0	0	0	0	9	0	0	16	0	0	0	15	0	0	0	0	0	0	0	0	0	47	96	0	0	6	0	0	75	0	0	24	12	0	0	36	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-478-510	0	0	0	0	0	0	0	0	12	0	0	0	0	21	16	0	0	0	0	0	35	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	65	0	0	0	0	0	0	181	0	70	0	0	0	0	27	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	13
assemblage-410-427	0	0	0	0	0	0	0	0	26	0	0	0	0	13	13	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	65	0	0	0	0	9	0	85	0	59	0	0	0	12	38	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	21
assemblage-372-614	0	0	0	0	0	0	0	0	8	0	0	0	0	23	17	0	0	0	0	0	39	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	60	0	0	0	0	0	5	144	0	54	0	0	0	26	38	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	6
assemblage-330-618	0	0	0	0	0	0	0	0	18	0	0	0	0	61	26	0	0	0	0	0	71	0	13	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	22	0	0	0	0	28	0	106	0	61	0	0	6	0	21	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	23
assemblage-611-453	0	0	0	0	0	0	0	0	19	0	0	0	0	27	71	7	0	0	0	0	0	13	0	0	0	0	12	0	0	4	0	0	0	12	6	0	0	0	0	0	0	0	0	57	81	0	0	0	0	0	104	0	0	9	11	0	0	32	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	21
