Assemblage_Name	1-1615357-2	1-2-2195845	5375682-3-1	1-8681830-2	1-3419821-2	1-2355576-4791274	0-0-2331115	1-228925-1	1-7415391-1736334	1-1541717-1	1-7321878-2195845	0-8743518-2	1-7500796-1	1-1931318-2	2-6251191-0	1-5925142-1	719217-1-3	1-2-6362090	0-0-1459936	5340590-2-2	1-4136685-1	5246093-2-1736334	1-1517698-1	5506224-2-1736334	1-2-4317782	1-792831-2	1143033-0-0	1-2-5853622	1-2-4791274	7016068-3-1	1-4357345-2195845	1-2-3946745	1-2-1736334	0-0-2	1-3-1	1-5152289-1736334	1-4548491-1736334	1-475344-2	1-6591642-1736334	1-2-2320894	1-2-6486536	1-2-2428004	2-0-0	1-4284144-2	1-4090196-1736334	0-8311383-2	1-196179-2	1626684-2-2195845	1-2-4376344	1-466423-1736334	1-2-4900993	1-2-2	1-2-1330807	1-2-2595266	8945950-0-2331115	1-8167873-1	3726503-2-2195845	1-2-5935376	1-111670-1	0-3657366-2	1-8562573-1
assemblage-797-468	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	56	0	0	0	185	0	73	0	0	0	7	82	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-389-888	0	115	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	158	0	0	0	0	0	0	0	0	19
assemblage-436-686	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	18	0	0	0	261	0	10	0	0	0	76	33	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6
assemblage-515-704	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	8	31	0	0	0	0	0	0	0	0	0	142	0	0	0	40	0	0	0	0	203	14	0	0	0	0	0	0	0	19
assemblage-909-174	0	264	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	36	20	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	6
assemblage-959-327	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	37	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	15
assemblage-246-243	0	142	0	0	0	0	0	11	0	0	0	0	0	0	0	11	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	97	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	5
assemblage-516-349	0	45	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	139	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	8
assemblage-827-761	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	26	0	0	0	0	0	0	0	0	0	0	221	0	34	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	10
assemblage-963-273	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	309	0	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	4
assemblage-207-404	0	125	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	153	0	0	0	0	0	0	0	0	18
assemblage-483-866	0	109	0	0	0	0	61	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	197	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	89	0	0	0	0	7	0	0	0	8
assemblage-917-808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	24	123	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	64	15	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	14
assemblage-106-537	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	7	0	0	0	0	0	0	0	0	0	0	155	0	82	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	28	0	0	0	0	18
