Assemblage_Name	1109327-1-2	2-0-9359138	2-0-8489228	1-0-1	0-3-223319	2-5132053-2	2-0-7274244	2-3-3	3-3-0	2-0-8847223	2-5936440-2	5945773-3-1	0-9500981-2	3-3-9377527	2553919-1-2	2556599-0-2	2-2493153-2	3-1-2	5852703-0-2	2-5494854-2	0-0-2	2-5132053-5121109	2-8305703-2	9660628-0-2	2-0-2	2-6196885-2	2-3051991-2	0-3-1	2-4730833-9359138	3-3-9355149	2-3880459-2	7188707-0-2	8275834-5936440-2
assemblage-260-332	0	92	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	329	0	0	0	0	0	0	0	2
assemblage-681-262	0	45	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	14	48	0	361	0	0	0	0	0	0	0	7
assemblage-925-280	0	9	0	0	0	0	0	0	39	0	0	0	0	17	0	0	0	53	15	0	0	0	0	6	358	0	0	0	0	0	0	0	3
assemblage-371-813	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	12	0	0	394	0	7	0	0	0	0	0	8
assemblage-172-952	0	11	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	5	0	0	6	0	448	0	0	0	0	0	0	0	2
assemblage-887-413	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	32	0	0	0	0	0	0	306	0	0	38	0	60	0	0	14
assemblage-333-235	0	96	0	0	0	0	14	0	11	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	309	0	0	0	0	0	0	0	3
assemblage-296-570	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	16
assemblage-292-563	0	95	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	3
assemblage-357-256	0	0	0	0	38	0	0	32	113	0	0	0	0	69	0	0	0	26	0	0	31	0	0	0	79	0	0	108	0	0	0	0	4
assemblage-897-536	0	0	0	119	0	0	0	216	88	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
