Assemblage_Name	2-8682202-5845182	9096289-4-0	2-4-8707812	2-4-44565	2-4638367-5845182	8474982-7057101-3	6263198-7057101-3	2-4-8844615	2-9397540-5845182	5647129-0-2	6759333-0-2	4-3-4323348	2-531440-0	3129457-531440-0	4-3235846-3	2-4-183273	2-6402706-0	9669638-4-0	1-3-5522894	2-4-4865915	0-2-2	0-2-4	2-5425343-0	4-0-4219753	4-9596784-3	3806857-3-3	3806857-2531605-3	4-0-2	6692734-4-0	2-4-5845182	6007263-0-2	1-3-2	2-4-4759318	4-7057101-7880450	2-531440-8523139	2-4-0	1-3-2529431	4-7057101-6734170	5123231-4-0	2-3202530-0	7145755-0-2	2-551412-0	2-8486574-0	1847468-4-0	9476439-4-0	3806857-3-1838035	8960740-3-3	2-4-2969536	2-1435727-0	4-3-3	4-7057101-3	4-6383479-3	2-531440-9897555	2-4-8433573	1-3-6923708	8591906-0-2
assemblage-277-528	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	42	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	161	27	0	0	0	0	26	0	0	0	0	0	0	0	0	22	0	0	0	0	22
assemblage-328-328	0	0	0	0	0	0	0	0	0	2	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	96	19	41	0	167	0	0	0	0	0	106	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-630-846	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	51	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	184	24	0	0	0	0	6	0	0	0	0	0	0	0	0	33	0	0	0	0	11
assemblage-190-596	0	0	0	0	16	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	51	0	25	0	214	0	0	21	0	0	140	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	16	0	8
assemblage-359-271	0	0	0	0	0	52	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	19	54	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	18
assemblage-985-351	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	83	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-597-671	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	6	0	0	0	0	176	57	0	0	22	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	9
assemblage-460-153	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	159	63	0	0	20	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	12
assemblage-684-472	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	11	0	48	16	61	0	225	0	0	0	0	0	44	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-689-477	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	11	0	69	15	51	0	249	0	0	0	0	0	37	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-308-566	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	78	33	77	0	100	0	0	0	0	0	95	0	0	0	0	0	0	8	65	0	0	0	0	0	0	0	0	13	0	0	5
assemblage-471-340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	141	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	59	0	0	0	0	4
assemblage-922-687	0	0	0	0	0	0	0	0	0	0	29	0	7	0	0	0	89	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	271	0	0	0	0	23	0	0	0	0	0	0	0	0	0	24	0	0	0	0	6
assemblage-910-1006	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	14	0	0	132	0	0	0	9	0	0	0	102	19	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	10
assemblage-774-471	0	0	0	0	0	0	0	0	0	0	16	0	11	0	0	0	7	0	0	0	0	0	0	0	0	5	0	21	0	5	0	0	0	0	0	294	57	0	0	0	37	0	0	0	0	0	0	0	0	0	40	0	0	0	0	7
assemblage-239-868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	21	15	0	65	0	0	0	29	0	0	0	179	53	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	10
assemblage-543-757	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	247	14	0	0	0	0	0	0	0	12	0	0	0	0	0	58	0	0	0	0	6
assemblage-615-216	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	7	0	64	0	240	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-352-230	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	149	0	65	0	75	0	0	0	0	0	124	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-614-458	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	97	0	6	0	0	13	0	0	0	0	0	7	0	0	0	44	0	0	0	180	5	0	0	0	0	0	0	0	0	0	0	0	0	27	85	0	0	0	12	13
assemblage-614-459	0	0	0	0	0	0	30	8	0	0	0	0	0	0	15	0	10	0	0	0	0	8	0	0	0	0	0	75	0	0	0	31	0	0	0	146	26	0	0	0	0	0	0	0	0	0	0	0	0	56	82	0	0	0	0	13
assemblage-598-655	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	4	0	0	0	0	0	0	0	13	0	0	132	0	0	0	0	0	0	0	217	15	0	0	0	15	0	0	0	0	0	0	0	0	0	61	0	0	0	0	10
assemblage-336-223	0	0	0	0	0	0	0	0	0	0	0	0	190	8	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	72	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-787-982	0	0	0	0	0	0	0	0	0	0	5	0	203	0	0	0	40	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	165	15	0	0	0	0	21	0	0	0	0	0	0	0	0	29	0	0	0	0	11
assemblage-637-842	0	0	0	0	0	0	0	0	0	0	7	0	22	0	0	0	4	0	0	0	0	0	0	0	0	26	0	42	0	88	0	0	0	0	0	240	4	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-912-277	0	0	0	13	0	0	0	0	0	0	0	0	39	0	0	0	6	0	0	0	0	0	0	0	0	125	11	14	0	17	0	0	0	0	0	250	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-167-585	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	35	0	193	0	0	21	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	12
