Assemblage_Name	4719486-2-4	1687261-0-1002990	1-0-0	4516298-6332063-0	4-2-2396106	4-2-2241289	4099312-0-1002990	6984742-0-1002990	3-4-4	4875057-2-4	3312714-0-0	6866445-4-4	8771985-0-1002990	3-4-8471988	1-0-806143	1-5944926-0	0-1-2052427	4516298-4-0	7961240-4-0	0-6559865-6409054	1-0-7474530	4516298-4-152506	1-0-9139664	1-916113-1002990	1-5491576-0	0-1-6409054	4-2-4	0-1-5751737	4246693-4-0	1-0-8097017	1-0-1002990	4516298-6119732-0	765562-2-4	4516298-3826494-0	4516298-4-5345766	8771985-0-301016	0-1-4474401	1-8968032-0	3271942-0-1002990
assemblage-267-236	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	13	0	5
assemblage-690-252	0	0	100	0	0	0	0	15	0	0	0	0	55	0	0	0	0	36	0	0	0	0	0	0	0	66	75	0	0	0	91	0	0	49	7	0	0	0	6
assemblage-889-395	14	0	244	70	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	73	33	0	0	0	35	0	0	0	0	0	0	0	9
assemblage-619-459	0	0	116	0	0	0	0	0	64	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	74	24	0	0	0	127	0	0	0	0	0	0	0	0
assemblage-296-136	0	0	24	0	0	0	0	0	68	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	202	104	0	0	0	14	0	0	0	0	0	0	0	4
assemblage-609-214	0	0	147	0	0	0	0	0	0	0	0	0	99	0	0	0	0	119	0	0	0	0	0	0	0	23	102	0	0	0	6	0	0	0	0	0	0	0	4
assemblage-526-929	0	0	4	0	0	0	0	0	117	0	0	0	0	0	0	0	0	98	0	0	0	3	0	0	0	171	90	0	0	0	12	0	0	0	0	0	0	0	5
assemblage-950-251	36	0	50	72	0	0	0	0	10	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	56	166	0	0	0	90	10	0	0	0	0	0	0	2
assemblage-663-393	0	0	151	0	0	0	0	0	0	0	0	0	116	0	0	0	0	22	0	0	0	0	0	0	0	69	128	0	0	0	10	0	0	0	0	0	0	0	4
assemblage-1000-339	0	21	204	4	0	0	0	0	0	0	0	0	154	0	0	0	0	21	0	0	0	0	0	0	0	0	43	0	0	0	51	0	0	0	0	0	0	0	2
assemblage-154-592	0	0	156	0	0	0	0	0	0	0	0	0	117	0	0	0	0	15	0	0	0	0	0	0	0	74	119	0	0	0	19	0	0	0	0	0	0	0	0
assemblage-181-932	0	0	9	0	0	0	0	14	0	0	0	0	148	0	0	0	0	79	0	0	0	0	0	0	0	25	204	0	0	0	13	0	0	0	0	0	0	0	8
