Assemblage_Name	1593558-3-0	3292217-3-1	3-8150231-0	3-3-9561872	5056896-3-1	9921590-3-1	1-4478383-1	3-3-3071360	1-3-3464020	3826600-1-0	2556203-760097-0	3-3-0	1-5647229-1	4-1-4	794906-1-0	2-1-370805	0-1-0	8426079-1-0	3-760097-0	1-6117556-1	1-3770073-1	6049152-1-6734204	1-2033217-1	0-0-4714178	1-3010852-1	4483996-3-0	1001125-3-1	0-9534669-4	619996-3-0	0-0-4	1270863-3-1	1-3-7587352	1-3-4370097	1063581-3-1	7881043-3-0	1-3-1	9454775-1-4	1-3812738-1	8242817-1-0	2-4-0	1-9534421-1	0-0-8675573	9260922-3-1	1-7883503-1	5317647-3-0	3-5012700-0	3-3-8389135	2-1-0	2-556275-0	1-3-6807610	3-5005702-0	4451047-3-1	0-1-5892551	0-1-6734204	0-1-4956290	3-5424800-0	673031-3-0
assemblage-918-974	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	39	0	0	5
assemblage-609-945	0	5	0	0	0	0	0	0	0	0	0	24	0	97	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	22	14	0	13
assemblage-399-852	0	0	0	7	0	0	0	0	0	0	0	113	22	0	0	0	0	0	26	0	0	0	0	0	0	0	7	0	10	38	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-350-720	0	3	0	0	0	0	0	0	0	0	0	12	0	57	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	114	8	0	0	0	0	9	5	0	14
assemblage-762-597	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	27	0	0	11
assemblage-818-138	0	0	0	0	0	0	0	0	3	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	7	0	0	12
assemblage-252-346	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10
assemblage-362-702	0	29	0	0	0	0	0	0	0	0	0	14	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	72	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	91	4	0	10
assemblage-516-120	2	0	0	22	0	0	0	0	0	0	0	202	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	35	0	0	4
assemblage-122-342	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	31	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	32	0	0	11
