Assemblage_Name	1-6749004-3	1-3-6060424	0-2240727-0	3-0-2214839	8819633-3-8824599	1-8156414-7519527	1-3-1517043	1-258511-9258641	6450305-3-3	1-3-6037924	1-3-4463406	1-3-9258641	1-5127672-3	0-6420075-0	1-8156414-5210008	1-3-8461666	13785-3-1517043	0-1449546-0	1-3-2905398	1-8207196-1517043	1-3-276805	0-3376418-0	9291983-4923142-4051409	8184657-4707682-2	1-3-1192933	8685439-2-0	1-2971891-9258641	8184657-0-9576050	1-3-6923148	4671214-2-0	0-4808887-0	0-9904410-0	1880725-0-4051409	1-8526610-1517043	3120498-104923-1517043	8184657-5129830-2	916680-0-2	1-6749004-104376	1-8526610-2877577	1757663-2-0	3326265-2971891-9258641	8723467-3-9258641	1255240-3-9258641	0-8520084-0	3740074-3-9258641	1-8156414-1517043	1-3306794-3	7290849-3-9258641	1057318-8156414-1517043	0-2-0	8819633-3-9258641	1-3-3	0-9904410-9118967	735171-2-0	6631896-3-9258641	49629-3-9258641	0-2-8337021	8184657-396758-2	9890892-0-4051409	7351262-2-0	4-4295029-3	8230383-2-0	0-6229210-0	1-3-2617796	2-4145887-982476	9938460-0-2	0-2-4160314	9167500-2-0	1-8156414-186313	8819633-2230716-9258641	8184657-0-9809282	0-3611706-0	1-2919486-9258641	3-0-1	4-4-3	1-8194289-9258641	8184657-0-6364866	0-2240727-55391	1200528-6420075-0	4896893-0-2	2-4196683-982476	6441791-2-0	9291983-0-4051409	1319660-2-0	8184657-0-4051409	9134804-0-2	8184657-0-2	0-6647474-0
assemblage-897-857	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	221	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18
assemblage-474-671	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	90	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	7	0	0	0	0	0	0	122	0	0	0	0	0	59	12
assemblage-262-640	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	68	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	34	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	15
assemblage-942-369	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	129	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13
assemblage-239-945	0	0	48	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	18
assemblage-831-655	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	12	0	0	185	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	11
assemblage-894-875	0	0	0	0	0	0	0	0	9	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	231	0	36	21	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-364-249	0	0	0	0	0	0	0	0	0	0	0	50	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	87	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	78	9
assemblage-509-129	0	0	0	0	0	0	0	0	8	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	39	13	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-233-168	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	3
