Assemblage_Name	409795-2-3	3-523524-4	7930379-3-4902598	1-0-1	6521645-3-4593887	4-9281390-3	0-5543770-2	0-1-2	7015898-2-3	2217010-2-3	4-2-2925748	7930379-6996568-4	5754964-5543770-2	8023199-2-3	7930379-2402034-4	2-4361069-0	0-8863817-2	5578595-2-3	3-1826266-4	2-0-0	7930379-3-4689381	3-0-4	321323-2-3	1-3593481-1	4-2-3	3-7690314-4	3-338648-4	3-0-6752004	7930379-3-4593887	2-0-5552213	1-2-2	2060359-3-4	1-4-2	2-1-1	7930379-3-4	9895768-3-4	7930379-3-8486971	2-0-5431172	4-2-9556654	3-5891867-4
assemblage-211-786	0	0	0	0	0	0	40	0	0	0	0	0	34	0	0	0	0	6	0	0	0	326	0	0	25	0	7	0	41	0	0	0	0	0	16	0	0	0	0	5
assemblage-247-716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	304	0	40	0	0	106	0	0	0	0	0	30	0	0	0	4	0	0	0	0	1
assemblage-353-255	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	37	0	192	0	19	87	0	0	0	0	0	0	0	0	0	70	0	0	0	0	1
assemblage-621-771	0	0	0	0	0	0	23	0	0	0	0	0	11	0	0	0	0	0	0	0	0	291	0	0	7	0	0	0	164	0	0	0	0	0	4	0	0	0	0	0
assemblage-814-115	0	0	0	23	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	185	0	17	0	0	32	0	0	0	0	0	0	0	0	0	186	0	0	0	0	7
assemblage-613-289	0	0	0	5	0	21	42	39	0	0	7	0	0	30	0	0	0	0	0	7	0	169	0	0	130	0	0	0	25	0	0	0	0	0	17	0	0	0	0	8
assemblage-94-905	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	15	0	6	0	0	349	0	0	0	0	0	0	0	0	0	38	0	0	0	0	14
assemblage-578-483	0	0	0	0	0	0	70	0	41	0	0	0	4	0	0	0	0	0	0	0	0	169	0	0	17	0	0	0	184	0	0	0	0	0	8	0	0	0	0	7
assemblage-604-772	0	0	0	0	0	0	86	0	33	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	54	8	8	0	145	0	0	0	0	0	0	0	0	0	0	21
assemblage-370-702	0	0	0	38	0	0	0	22	0	0	0	0	0	0	19	0	0	0	0	274	0	0	0	0	60	0	0	0	0	0	0	0	0	0	77	0	0	0	0	10
