Assemblage_Name	2-6183765-3	3-1-4411414	8932667-1-2	4459746-1-3	3785268-1-2	2-1-3	2-1-8708333	2-1-8247714	2-9687264-3	2-8926661-3	3-6226411-4	2-8572631-3	5510473-1-3	2508081-1-3	2-2185816-3	7991151-4-2	2-8114921-3	8785037-1-3	3-1-7890162	3-1-2	3-1-4	1411868-1-3	2-1-7841178	2-1-9182502	2-1543104-3	8322843-1-3	2-6137405-3	5302236-1-3	2-1-4016206	580796-1-2	2-1-1364777	4286564-1-3	6574511-9736504-4	8360297-1-3	2-1266148-3	2-7206789-3	1-4-2	5943145-1-3	2-1-4	6574511-1-4	2-1-9550803	4202352-1-3	2-1-4369226	2-1-924753
assemblage-607-773	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	15
assemblage-327-693	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-721-988	0	0	0	0	0	294	0	0	0	18	0	0	0	0	0	0	0	0	0	146	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	9
assemblage-243-933	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-515-132	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-344-482	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	15	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	13
assemblage-450-743	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-236-475	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-217-641	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	8
assemblage-564-470	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	42	0	0	0	0	0	0	0	0	7
assemblage-236-112	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	33	0	0	0	0	0	0	0	0	20
assemblage-608-503	0	5	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	100	81	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	34	0	0	24	0	0	0	5
assemblage-350-481	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-377-697	0	31	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	156	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	7
assemblage-566-457	0	0	0	12	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	41	0	0	0	0	0	0	0	0	5
assemblage-755-641	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	172	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-488-754	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
